,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
,,,,,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,5,3,2,0.0,22.0,12.0,704.0,1536.0,1120.0,10.0,1.0,22.0,12.0,896.0,2400.0,1120.0,10.0,2.0,23.0,13.0,2784.0,10336.0,1120.0,10.0,3.0,22.0,15.0,1088.0,3488.0,1120.0,7.0,4.0,23.0,11.0,672.0,7528.0,1120.0,12.0,0.5477225575051661,1.51657508881031,885.2497952555539,3738.0653819857134,0.0,1.7888543819998317
2,5,5,3,3,0.0,25.0,19.0,1816.0,25552.0,1600.0,6.0,1.0,25.0,15.0,2008.0,642488.0,1600.0,10.0,2.0,23.0,19.0,10136.0,331216.0,1600.0,4.0,3.0,23.0,18.0,2184.0,25464.0,1600.0,5.0,4.0,25.0,17.0,2464.0,591264.0,1600.0,8.0,1.0954451150103324,1.6733200530681511,3593.6762235905444,296272.02401036787,0.0,2.4083189157584592
2,5,20,0,0,0.0,7.0,4.0,24464.0,24464.0,640.0,3.0,1.0,14.0,6.0,19856.0,19856.0,640.0,8.0,2.0,11.0,6.0,22752.0,22752.0,640.0,5.0,3.0,10.0,4.0,10496.0,10496.0,640.0,6.0,4.0,9.0,6.0,63104.0,63104.0,640.0,3.0,2.588435821108957,1.0954451150103321,20279.053547934625,20279.053547934625,0.0,2.1213203435596424
2,5,20,1,1,0.0,11.0,11.0,45248.0,68416.0,1280.0,0.0,,,,,,,,2.0,20.0,13.0,68576.0,94944.0,1280.0,7.0,,,,,,,,4.0,19.0,11.0,102016.0,140928.0,1280.0,8.0,4.932882862316248,1.1547005383792517,28533.708159531827,36688.44773676495,0.0,4.358898943540674
2,5,20,1,2,,,,,,,,1.0,17.0,12.0,109952.0,403136.0,1920.0,5.0,2.0,17.0,12.0,194368.0,481088.0,1920.0,5.0,3.0,15.0,13.0,62528.0,134976.0,1920.0,2.0,,,,,,,,1.1547005383792515,0.5773502691896257,66779.34115677791,181557.98726944881,0.0,1.7320508075688772
2,5,20,1,3,0.0,16.0,15.0,240384.0,442688.0,2560.0,1.0,1.0,18.0,14.0,249024.0,501184.0,2560.0,4.0,2.0,20.0,13.0,344128.0,4056960.0,2560.0,7.0,,,,,,,,4.0,11.0,17.0,208064.0,458176.0,2560.0,-6.0,3.8622100754188224,1.707825127659933,58536.28080657898,1794975.9208932766,0.0,5.5677643628300215
2,5,20,2,1,0.0,25.0,16.0,241920.0,1985408.0,1920.0,9.0,,,,,,,,,,,,,,,3.0,21.0,14.0,171008.0,475904.0,1920.0,7.0,,,,,,,,2.8284271247461903,1.4142135623730951,50142.356067500456,1067380.5146282183,0.0,1.4142135623730951
2,5,20,2,2,0.0,24.0,22.0,262080.0,685760.0,3200.0,2.0,1.0,27.0,20.0,598720.0,3411648.0,3200.0,7.0,2.0,21.0,24.0,349632.0,2039744.0,3200.0,-3.0,,,,,,,,4.0,25.0,23.0,1336768.0,4417408.0,3200.0,2.0,2.5,1.707825127659933,487950.0746483531,1626240.4167387632,0.0,4.08248290463863
2,5,20,2,3,0.0,30.0,38.0,969536.0,18091008.0,4480.0,-8.0,1.0,26.0,40.0,283712.0,530176.0,4480.0,-14.0,,,,,,,,3.0,25.0,45.0,440000.0,966592.0,4480.0,-20.0,,,,,,,,2.6457513110645907,3.605551275463989,359441.4354745429,10015146.05317313,0.0,6.0
2,5,20,3,1,0.0,31.0,21.0,289280.0,1749888.0,2560.0,10.0,1.0,29.0,19.0,206976.0,582656.0,2560.0,10.0,,,,,,,,3.0,28.0,28.0,314240.0,1244800.0,2560.0,0.0,,,,,,,,1.5275252316519465,4.725815626252609,56128.595967949645,585374.396761594,0.0,5.773502691896258
2,5,20,3,2,0.0,33.0,45.0,534464.0,8482752.0,4480.0,-12.0,1.0,34.0,34.0,1073088.0,20343104.0,4480.0,0.0,2.0,37.0,45.0,892288.0,3440512.0,4480.0,-8.0,3.0,31.0,45.0,523136.0,3253344.0,4480.0,-14.0,4.0,29.0,56.0,370432.0,1156736.0,4480.0,-27.0,3.03315017762062,7.7781745930520225,292059.52655717294,7754450.3745777365,0.0,9.859006035092989
2,5,20,3,3,0.0,35.0,124.0,749312.0,55375232.0,6400.0,-89.0,,,,,,,,,,,,,,,3.0,37.0,103.0,2185216.0,576854400.0,6400.0,-66.0,,,,,,,,1.4142135623730951,14.849242404917497,1015337.4555328883,368741455.9403189,0.0,16.263455967290593
