,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,5,2,1,17,11,1188,9504,270,6,17,12,1296,7506,270,5,21,9,756,1566,270,12,16,9,1188,3240,270,7,16,12,1080,2754,270,4,17.4,10.6,1101.6,4914,270,6.8,2.073644135,1.516575089,207.7421479,3408.20862,0,3.1144823
3,2,5,2,2,18,10,4266,38826,450,8,18,10,3402,28998,450,8,17,13,2592,1064988,450,4,17,12,2214,13230,450,5,18,12,3672,119826,450,6,17.6,11.4,3229.2,253173.6,450,6.2,0.547722558,1.341640786,827.2757702,455685.3978,0,1.788854382
3,2,5,2,3,18,14,6318,1359504,630,4,18,14,9396,1282392,630,4,20,18,325620,-1539971806,630,2,19,14,19926,10099296,630,5,19,13,14256,10100214,630,6,18.8,14.6,75103.2,-303426080,630,4.2,0.836660027,1.949358869,140137.8001,691264011.8,0,1.483239697
3,2,5,3,1,23,18,6426,67878,360,5,22,13,1620,11880,360,9,22,16,1566,3942,360,6,24,15,1242,10044,360,9,23,18,1836,24030,360,5,22.8,16,2538,23554.8,360,6.8,0.836660027,2.121320344,2183.831037,25827.68122,0,2.049390153
3,2,5,3,2,22,11,6912,3196800,630,11,23,17,12744,324108,630,6,25,18,3942,14364,630,7,26,16,5184,421686,630,10,23,14,5508,913464,630,9,23.8,15.2,6858,974084.4,630,8.6,1.643167673,2.774887385,3456,1283823.978,0,2.073644135
3,2,5,3,3,27,34,93798,709048792,900,-7,25,19,173502,-1579122994,900,6,28,53,611874,860956074,900,-25,22,18,31104,1595872012,900,4,23,20,22518,38326986,900,3,25,28.8,186559.2,325016174,900,-3.8,2.549509757,15.02331521,245328.1702,1199762878,0,12.8724512
3,2,20,0,0,8,6,3402,3402,360,2,9,5,12474,12474,360,4,9,5,5778,5778,360,4,9,5,7074,7074,360,4,11,5,4320,4320,360,6,9.2,5.2,6609.6,6609.6,360,4,1.095445115,0.447213595,3564.736288,3564.736288,0,1.414213562
3,2,20,1,1,19,11,1404108,6099030,720,8,13,9,29484,28674,720,4,13,11,95472,176634,720,2,15,9,69498,380970,720,6,,,,,,,15,10,399640.5,1671327,720,5,2.828427125,1.154700538,670194.8323,2955333.658,0,2.581988897
3,2,20,1,2,,,,,,,,,,,,,35,15,4246614,179823024,1080,20,,,,,,,22,15,1298484,180300384,1080,7,28.5,15,2772549,180061704,1080,13.5,9.192388155,0,2084642.715,337544.4931,0,9.192388155
3,2,20,1,3,,,,,,,1534,19,456463188,-1448358196,1440,1515,66,24,8540586,20920464,1440,42,506,21,149648634,540572324,1440,485,,,,,,,702,21.33333333,204884136,-295621802.7,1440,680.6666667,753.3710905,2.516611478,229012848.7,1031557273,0,755.74224
3,2,20,2,1,22,20,259416,3826008,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,22,20,259416,3826008,1080,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,2,20,2,2,1139,43,275671998,941225184,1800,1096,,,,,,,,,,,,,46,59,5546340,533551158,1800,-13,,,,,,,592.5,51,140609169,737388171,1800,541.5,772.8677118,11.3137085,191007684.5,288269068.3,0,784.1814203
3,2,20,2,3,,,,,,,,,,,,,,,,,,,344,95,87450030,1432423218,2520,249,,,,,,,344,95,87450030,1432423218,2520,249,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,2,20,3,1,146,41,2987658,23569596,1440,105,43,41,1873638,291134682,1440,2,,,,,,,,,,,,,59,37,6225444,66366324,1440,22,82.66666667,39.66666667,3695580,127023534,1440,43,55.42863279,2.309401077,2260623.594,143726273.4,0,54.61684722
3,2,20,3,2,,,,,,,,,,,,,,,,,,,,,,,,,10928,159,2393661024,-129648104,2520,10769,10928,159,2393661024,-129648104,2520,10769,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,2,50,0,0,40,40,5349672,5349672,900,0,110,112,24577614,24577614,900,-2,54,48,6365574,6006906,900,6,22,19,1806012,1806012,900,3,27,41,3005802,6911298,900,-14,50.6,52,8220934.8,8930300.4,900,-1.4,35.45137515,35.24911346,9321699.32,8958758.471,0,7.668115805
3,3,5,0,0,6,2,108,108,270,4,6,2,90,90,270,4,7,2,108,108,270,5,9,2,108,108,270,7,6,3,108,108,270,3,6.8,2.2,104.4,104.4,270,4.6,1.303840481,0.447213595,8.049844719,8.049844719,0,1.516575089
3,3,5,1,1,17,8,648,1188,540,9,13,8,810,810,540,5,13,5,594,810,540,8,13,7,810,1458,540,6,13,9,324,594,540,4,13.8,7.4,637.2,972,540,6.4,1.788854382,1.516575089,199.8729597,345.7687088,0,2.073644135
3,3,5,1,2,14,7,1296,1620,810,7,13,9,1296,1458,810,4,13,6,2106,9396,810,7,13,9,1080,1350,810,4,13,8,1242,2538,810,5,13.2,7.8,1404,3272.4,810,5.4,0.447213595,1.303840481,402.2909395,3455.282738,0,1.516575089
